InstanceType:    	1
CustomerNumber:  	30
PeriodNumber:    	3
VechileNumber:   	3
VehicleCapacity: 	228
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 430.0 		 299.0 		    0 		   384		     768 	   3.0 		  30.0 		 3000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		 267.0 		 478.0 		    44 		   132		   22 		   7.0
   2 		 230.0 		 443.0 		    42 		   119		   17 		   7.0
   3 		 357.0 		 190.0 		     7 		    45		   15 		   7.0
   4 		 203.0 		 476.0 		    11 		    44		   11 		   8.0
   5 		  49.0 		 432.0 		     9 		    36		    9 		   8.0
   6 		 301.0 		 204.0 		    38 		   114		   19 		   6.0
   7 		 247.0 		 371.0 		    34 		   102		   17 		   6.0
   8 		 433.0 		 214.0 		     5 		    33		   11 		   6.0
   9 		 122.0 		  83.0 		    16 		    48		    8 		   9.0
  10 		 331.0 		 304.0 		    34 		   102		   17 		   6.0
  11 		 336.0 		  42.0 		    14 		    42		    7 		   8.0
  12 		 437.0 		 352.0 		    32 		    91		   13 		   7.0
  13 		 263.0 		 139.0 		    17 		    49		    7 		   6.0
  14 		 239.0 		 213.0 		     9 		    36		    9 		   6.0
  15 		 319.0 		 421.0 		    15 		    42		    6 		   8.0
  16 		  72.0 		 115.0 		    18 		    72		   18 		   6.0
  17 		 195.0 		 196.0 		    40 		   112		   16 		   6.0
  18 		 136.0 		 328.0 		     6 		    36		   12 		   6.0
  19 		 411.0 		 138.0 		    16 		    48		    8 		   6.0
  20 		   4.0 		 243.0 		     3 		    21		    7 		   7.0
  21 		 121.0 		 106.0 		    35 		    98		   14 		   6.0
  22 		  40.0 		  48.0 		    10 		    30		    5 		   9.0
  23 		  64.0 		 379.0 		    10 		    30		    5 		   9.0
  24 		 406.0 		 202.0 		    16 		    64		   16 		   8.0
  25 		 359.0 		 174.0 		    47 		   133		   19 		   8.0
  26 		 271.0 		 182.0 		     8 		    48		   16 		   7.0
  27 		 476.0 		  24.0 		    18 		    72		   18 		   9.0
  28 		 330.0 		 178.0 		    17 		    68		   17 		   6.0
  29 		 478.0 		 213.0 		    13 		    52		   13 		   6.0
  30 		 225.0 		 397.0 		    12 		    48		   12 		   8.0
