InstanceType:    	2
CustomerNumber:  	10
PeriodNumber:    	9
VechileNumber:   	2
VehicleCapacity: 	198
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 143.0 		  99.0 		    0 		   152		     304 	   3.0 		 300.0 		 30000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		  89.0 		 159.0 		    10 		    30		   10 		   6.0
   2 		  76.0 		 314.0 		    30 		    60		   15 		   9.0
   3 		 285.0 		  63.0 		    30 		    60		   15 		   7.0
   4 		 401.0 		 325.0 		     7 		    21		    7 		   8.0
   5 		  16.0 		 310.0 		    26 		    52		   13 		   6.0
   6 		 267.0 		 401.0 		    80 		   112		   16 		   6.0
   7 		 249.0 		 123.0 		   110 		   154		   22 		   8.0
   8 		 477.0 		 238.0 		    13 		    39		   13 		   8.0
   9 		 374.0 		 194.0 		    95 		   133		   19 		   9.0
  10 		 277.0 		 101.0 		    88 		   132		   22 		   7.0
