InstanceType:    	3
CustomerNumber:  	15
PeriodNumber:    	3
VechileNumber:   	2
VehicleCapacity: 	198
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 715.0 		 495.0 		    0 		   235		     470 	   3.0 		  30.0 		 3000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		 445.0 		 795.0 		     5 		    30		   10 		   6.0
   2 		 380.0 		 1570.0 	    15 		    60		   15 		   9.0
   3 		 1425.0 	 315.0 		    15 		    60		   15 		   7.0
   4 		 2005.0 	 1625.0 	     3 		    21		    7 		   8.0
   5 		  80.0 		 1550.0 	    13 		    52		   13 		   6.0
   6 		 1335.0 	 2005.0 	    40 		   112		   16 		   6.0
   7 		 1245.0 	 615.0 		    55 		   154		   22 		   8.0
   8 		 2385.0 	 1190.0 	     6 		    39		   13 		   8.0
   9 		 1870.0 	 970.0 		    47 		   133		   19 		   9.0
  10 		 1385.0 	 505.0 		    44 		   132		   22 		   7.0
  11 		 2225.0 	  70.0 		    38 		   114		   19 		   8.0
  12 		 1560.0 	 2250.0 	    21 		    84		   21 		   9.0
  13 		 2105.0 	 1065.0 	    47 		   133		   19 		   6.0
  14 		 395.0 		 355.0 		    19 		    76		   19 		   6.0
  15 		 530.0 		 2365.0 	     5 		    20		    5 		   8.0
