InstanceType:    	3
CustomerNumber:  	45
PeriodNumber:    	3
VechileNumber:   	4
VehicleCapacity: 	270
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 370.0 		 1995.0 	    0 		   719		    1438 	   3.0 		  30.0 		 3000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		 1780.0 	 690.0 		    20 		    56		    8 		   8.0
   2 		 1535.0 	 1290.0 	     3 		    21		    7 		   6.0
   3 		 715.0 		 1265.0 	     6 		    24		    6 		   9.0
   4 		 520.0 		 1510.0 	    26 		    78		   13 		   6.0
   5 		 330.0 		 1215.0 	    45 		   126		   18 		   9.0
   6 		 340.0 		 530.0 		    22 		    66		   11 		   6.0
   7 		 2480.0 	 2475.0 	    30 		    90		   15 		   8.0
   8 		 2050.0 	 2260.0 	    10 		    60		   20 		   8.0
   9 		 2480.0 	 1390.0 	    46 		   138		   23 		   8.0
  10 		 545.0 		 2030.0 	     7 		    42		   14 		   8.0
  11 		 1405.0 	 280.0 		    11 		    66		   22 		   6.0
  12 		 1245.0 	 1515.0 	     9 		    36		    9 		   7.0
  13 		 920.0 		 1760.0 	    52 		   147		   21 		   6.0
  14 		 1595.0 	 1420.0 	    60 		   168		   24 		   6.0
  15 		 2125.0 	 1970.0 	     3 		    18		    6 		   6.0
  16 		 2145.0 	 1600.0 	    15 		    60		   15 		   8.0
  17 		 1300.0 	 1310.0 	    15 		    42		    6 		   6.0
  18 		 905.0 		 1355.0 	    22 		    88		   22 		   8.0
  19 		 245.0 		 920.0 		     5 		    30		   10 		   7.0
  20 		  25.0 		 1620.0 	    44 		   132		   22 		   8.0
  21 		 1640.0 	 710.0 		    12 		    72		   24 		   8.0
  22 		 265.0 		 1150.0 	    36 		   108		   18 		   7.0
  23 		 2095.0 	  30.0 		     9 		    57		   19 		   8.0
  24 		 1875.0 	 1350.0 	    50 		   140		   20 		   7.0
  25 		 2395.0 	 330.0 		    45 		   126		   18 		   6.0
  26 		 1805.0 	 2050.0 	     7 		    42		   14 		   7.0
  27 		 675.0 		 995.0 		     8 		    48		   16 		   8.0
  28 		 1365.0 	 2020.0 	     4 		    24		    8 		   8.0
  29 		 1520.0 	 585.0 		    16 		    64		   16 		   9.0
  30 		 1500.0 	 1815.0 	    42 		   126		   21 		   8.0
  31 		 1810.0 	 1515.0 	    12 		    72		   24 		   6.0
  32 		 1355.0 	 2150.0 	    55 		   154		   22 		   6.0
  33 		 1375.0 	 1795.0 	    20 		    80		   20 		   6.0
  34 		 2495.0 	 1585.0 	    20 		    60		   10 		   9.0
  35 		 1475.0 	   0.0 		    15 		    42		    6 		   7.0
  36 		 870.0 		 1105.0 	    37 		   105		   15 		   8.0
  37 		 955.0 		 2210.0 	    50 		   140		   20 		   6.0
  38 		 900.0 		  55.0 		    44 		   132		   22 		   9.0
  39 		 2050.0 	 1000.0 	    22 		    63		    9 		   7.0
  40 		 560.0 		 675.0 		     7 		    42		   14 		   9.0
  41 		 1480.0 	  55.0 		    21 		    84		   21 		   9.0
  42 		 2330.0 	 2120.0 	    12 		    72		   24 		   9.0
  43 		 1585.0 	 2010.0 	    17 		    68		   17 		   6.0
  44 		 1415.0 	 1325.0 	    15 		    60		   15 		   8.0
  45 		 645.0 		 1890.0 	    28 		    84		   14 		   7.0
