InstanceType:    	2
CustomerNumber:  	25
PeriodNumber:    	6
VechileNumber:   	2
VehicleCapacity: 	283
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 287.0 		 199.0 		    0 		   350		     700 	   3.0 		 300.0 		 30000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		 178.0 		 319.0 		    32 		    64		   16 		   7.0
   2 		 153.0 		 129.0 		    24 		    36		    6 		   8.0
   3 		  71.0 		 126.0 		    20 		    30		    5 		   9.0
   4 		 302.0 		 151.0 		    18 		    36		    9 		   6.0
   5 		  33.0 		 121.0 		   105 		   147		   21 		   7.0
   6 		  34.0 		 303.0 		    40 		    56		    8 		   6.0
   7 		 498.0 		 247.0 		   100 		   140		   20 		   7.0
   8 		 455.0 		 476.0 		    22 		    66		   22 		   7.0
   9 		 248.0 		 389.0 		    70 		    98		   14 		   9.0
  10 		  54.0 		 203.0 		    19 		    57		   19 		   9.0
  11 		 390.0 		  28.0 		    13 		    39		   13 		   6.0
  12 		 124.0 		 401.0 		    68 		   102		   17 		   8.0
  13 		 342.0 		 426.0 		    65 		    91		   13 		   6.0
  14 		 159.0 		 142.0 		    70 		    98		   14 		   6.0
  15 		 212.0 		 447.0 		    20 		    30		    5 		   6.0
  16 		 214.0 		 410.0 		    20 		    60		   20 		   7.0
  17 		 130.0 		 131.0 		    25 		    35		    5 		   6.0
  18 		  90.0 		 385.0 		    23 		    69		   23 		   9.0
  19 		 274.0 		  92.0 		     7 		    21		    7 		   6.0
  20 		   2.0 		 162.0 		    65 		    91		   13 		   9.0
  21 		 414.0 		  71.0 		    96 		   144		   24 		   7.0
  22 		  26.0 		 365.0 		    55 		    77		   11 		   6.0
  23 		 209.0 		 253.0 		    12 		    36		   12 		   9.0
  24 		 437.0 		 135.0 		    60 		    84		   12 		   8.0
  25 		 239.0 		 283.0 		   105 		   147		   21 		   6.0
